001	-	-	-	645	700	700	-	-	700	700	-	-	700	700	-	-	-	-	800	700	700	-	-	-	1900	1900	1900	-	-	1900	1900	-	-	1900	1900	-	-	-	-	1600	1900	1900
002	2400	-	-	800	-	-	-	-	-	-	-	-	-	-	-	-	800	800	-	-	-	3100	-	-	1523	-	-	-	-	-	-	-	-	-	-	-	-	1545	1545	-	-	-
003	1700	1900	-	-	1600	1700	1900	-	-	-	-	-	1900	1900	-	-	-	1845	1900	-	1700	3100	3100	-	-	3100	3100	3100	-	-	-	-	-	3100	3100	-	-	-	3100	3100	-	3100
004	1700	-	-	-	-	1645	1900	-	-	645	800	1700	-	-	1000	1000	-	-	1700	1700	-	3100	-	-	-	-	3100	3100	-	-	1900	1545	3100	-	-	2200	2200	-	-	3100	3100	-
005	-	-	-	-	-	700	1000	-	-	900	900	1700	-	-	-	-	-	1154	1000	1000	-	-	-	-	-	-	1900	2200	-	-	2100	2100	3100	-	-	-	-	-	2200	2200	2200	-
006	700	645	1500	1200	-	-	700	1500	1300	-	-	645	900	1500	-	-	900	1515	1500	-	-	1600	1600	3100	2100	-	-	1600	3100	2200	-	-	1600	1700	3100	-	-	1800	3100	3100	-	-
007	1845	-	-	800	645	1845	-	-	-	645	1845	-	-	-	645	-	800	800	-	645	1845	3100	-	-	1745	1900	3100	-	-	-	1900	3100	-	-	-	1900	-	1545	1545	-	1900	3100
008	-	700	700	1900	-	-	-	645	1845	-	-	-	700	1400	-	-	800	645	1845	-	-	-	1700	1900	3100	-	-	-	1900	3100	-	-	-	1900	3100	-	-	1715	1900	3100	-	-
009	1900	-	-	-	645	1845	-	-	945	700	1900	-	-	-	645	1845	-	-	-	700	1400	3100	-	-	-	1900	3100	-	-	1900	1900	3100	-	-	-	1900	3100	-	-	-	1900	3100
010	700	645	1845	-	-	-	700	1900	-	-	800	645	1845	-	-	-	700	1900	-	-	-	1700	1900	3100	-	-	-	1900	3100	-	-	1715	1900	3100	-	-	-	1900	3100	-	-	-
011	1700	-	-	1300	645	1600	-	-	-	645	1400	-	-	-	645	1900	-	-	800	645	1845	3100	-	-	1900	1900	3100	-	-	-	1900	3100	-	-	-	1900	3100	-	-	1600	1900	3100
012	1700	1900	-	-	-	-	-	-	1800	1900	1900	-	-	-	1800	1845	-	-	1600	1700	1900	3100	3100	-	-	-	-	-	-	3100	3100	3100	-	-	-	3100	3100	-	-	3100	3100	3100
013	1845	-	-	800	-	1845	-	-	-	-	-	-	-	-	645	1845	-	-	-	645	1845	3100	-	-	1900	-	3100	-	-	-	-	-	-	-	-	1900	3100	-	-	-	1900	3100
014	2400	-	-	800	1845	-	-	700	645	1900	-	-	-	645	1845	-	-	700	645	1900	-	3100	-	-	1600	3100	-	-	1500	1900	3100	-	-	-	1900	3100	-	-	1500	1900	3100	-
015	645	1845	-	-	-	645	1845	-	-	-	800	1845	-	-	-	645	1200	-	-	-	-	1900	3100	-	-	-	1900	3100	-	-	-	1636	3100	-	-	-	1900	3100	-	-	-	-
016	-	-	-	-	-	-	-	-	800	800	800	-	-	1200	-	-	800	800	645	1850	-	-	-	-	-	-	-	-	-	1545	1545	1545	-	-	1900	-	-	1545	1545	1600	3100	-
017	2400	700	1900	-	-	-	645	-	800	800	800	-	1845	-	-	800	645	1845	-	-	-	3100	1900	3100	-	-	-	1900	-	1545	1545	1545	-	3100	-	-	1600	1900	3100	-	-	-
018	2400	-	-	1800	1900	-	-	1900	1900	1900	-	-	-	1845	1900	-	-	-	1700	1700	-	3100	-	-	3100	3100	-	-	3100	3100	3100	-	-	-	3100	3100	-	-	-	3100	3100	-
019	1900	-	-	-	1845	1900	1900	-	-	-	-	1800	1900	-	-	1900	1900	1900	-	-	-	3100	-	-	-	3100	3100	3100	-	-	-	-	3100	3100	-	-	3100	3100	3100	-	-	-
020	1900	-	-	-	645	1845	-	-	945	700	1900	-	-	-	645	1845	-	-	-	700	1400	3100	-	-	-	1900	3100	-	-	1900	1900	3100	-	-	-	1900	3100	-	-	-	1900	3100
021	645	1845	-	-	-	700	1900	-	-	-	645	1845	-	-	900	700	1400	-	-	-	645	1900	3100	-	-	-	1900	3100	-	-	-	1900	3100	-	-	1600	1900	3100	-	-	-	1900
022	-	-	900	645	900	1400	-	-	-	-	1200	1200	1400	-	-	-	900	900	1400	-	-	-	-	1700	1900	2100	3100	-	-	-	-	3100	3100	3100	-	-	-	2100	2100	3100	-	-
023	-	-	-	-	-	-	-	-	-	-	800	-	-	-	645	1845	-	-	645	645	1900	-	-	-	-	-	-	-	-	-	-	1545	-	-	-	1900	3100	-	-	1900	1900	3100
024	800	645	1200	-	-	-	645	1200	-	-	-	645	1345	-	-	1000	645	1200	-	-	-	1800	1900	3100	-	-	-	1900	3100	-	-	-	1900	3100	-	-	1900	1900	3100	-	-	-
025	1300	1000	1000	1900	-	-	-	-	-	-	-	-	-	-	-	-	-	645	1845	1900	-	2200	1800	2200	3100	-	-	-	-	-	-	-	-	-	-	-	-	-	1900	3100	3100	-
026	-	1000	1845	-	-	-	700	1900	-	-	800	645	1845	-	-	-	-	-	-	-	-	-	1900	3100	-	-	-	1900	3100	-	-	1545	1900	3100	-	-	-	-	-	-	-	-
027	900	700	-	800	-	-	645	1845	-	-	-	700	1900	-	-	945	645	1845	-	-	-	1900	1900	-	2000	-	-	1900	3100	-	-	-	1900	3100	-	-	1900	1900	3100	-	-	-
028	645	-	-	800	-	700	1400	-	-	800	645	1845	-	-	-	700	1900	-	-	-	645	1900	-	-	1930	-	1900	3100	-	-	1545	1900	3100	-	-	-	1900	3100	-	-	-	1900
029	800	1900	-	-	-	800	1845	-	-	-	800	1800	-	-	-	800	-	-	-	-	1100	2000	3100	-	-	-	2000	3100	-	-	-	2000	3100	-	-	-	1609	-	-	-	-	2000
030	-	-	645	800	1700	1700	-	-	-	-	700	1600	1600	-	-	-	-	1200	1200	1400	-	-	-	1900	1600	3100	3100	-	-	-	-	1900	3100	3100	-	-	-	-	3100	3100	3100	-
031	700	700	1900	-	-	-	700	-	-	-	-	-	-	-	-	900	700	1930	-	-	-	1900	1900	3100	-	-	-	1900	-	-	-	-	-	-	-	-	1500	1900	3100	-	-	-
032	-	-	-	-	-	-	-	1145	-	800	645	645	1845	-	-	-	800	1800	-	-	-	-	-	-	-	-	-	-	3100	-	1545	1900	1900	3100	-	-	-	1545	3100	-	-	-
033	800	1200	1845	-	-	-	1200	1845	-	-	-	1200	1845	-	-	1130	1200	1400	-	-	-	1800	3100	3100	-	-	-	3100	3100	-	-	-	3100	3100	-	-	2100	3100	3100	-	-	-
034	-	-	-	-	-	-	-	930	700	-	800	-	645	1900	-	-	-	700	1900	-	-	-	-	-	-	-	-	-	1900	1900	-	1545	-	1900	3100	-	-	-	1900	3100	-	-
035	-	800	645	1845	-	-	-	645	1200	-	800	-	645	1900	-	-	-	645	1845	-	-	-	1900	1900	3100	-	-	-	1900	3100	-	1545	-	1900	3100	-	-	-	1900	3100	-	-
036	-	-	-	900	-	1100	-	1400	1400	-	-	-	1200	1200	-	-	-	-	1124	-	-	-	-	-	1700	-	1800	-	2200	2200	-	-	-	2000	1900	-	-	-	-	1800	-	-
037	-	-	-	-	-	-	-	1845	-	-	900	700	1800	-	-	900	1000	2000	-	-	-	-	-	-	-	-	-	-	3100	-	-	1630	1900	3100	-	-	1945	2200	3100	-	-	-
038	-	1500	1500	-	1500	2000	-	-	1300	1500	2200	-	-	-	645	700	1500	-	1500	1500	1100	-	3100	3100	-	3100	3100	-	-	2200	3100	3100	-	-	-	1600	1600	3100	-	3100	3100	1900
039	-	1500	1300	1300	-	800	1300	1300	-	-	645	1445	1200	-	-	1300	1630	1300	-	-	645	-	3100	2200	2200	-	1700	2200	2200	-	-	1600	3100	2100	-	-	2200	3100	2200	-	-	1600
040	-	1800	1845	-	-	-	1800	1900	1900	-	-	1700	1700	1900	-	-	-	-	-	1800	1900	-	3100	3100	-	-	-	3100	3100	3100	-	-	3100	3100	3100	-	-	-	-	-	3100	3100
041	700	1815	-	-	-	645	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2000	3100	-	-	-	1945	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
042	1900	-	-	-	645	1845	-	-	1200	700	1400	-	-	-	645	1845	-	-	900	645	1900	3100	-	-	-	1900	3100	-	-	1900	1900	3100	-	-	-	1900	3100	-	-	1600	1900	3100
